,0,1
0,https://finance.naver.com//news/news_read.naver?article_id=0000356944&office_id=448&mode=search&query=변기&page=1,"납품업체 교체 놓고도 갈등…""조합 갑질' vs ""고급화 차원"""
1,https://finance.naver.com//news/news_read.naver?article_id=0005187814&office_id=018&mode=search&query=변기&page=1,"[미리보는 이데일리 신문]尹정부, 공급 틀어막던 고분양가심사제 손본다"
2,https://finance.naver.com//news/news_read.naver?article_id=0004736180&office_id=008&mode=search&query=변기&page=1,"바스템, 2022 소비자가 뽑은 서비스고객만족대상 수상"
3,https://finance.naver.com//news/news_read.naver?article_id=0013129818&office_id=001&mode=search&query=변기&page=1,"[서산소식] 상공회의소, 1천만원 상당 어르신 안전용품 기탁"
4,https://finance.naver.com//news/news_read.naver?article_id=0000804687&office_id=417&mode=search&query=변기&page=1,[르포] 서울 역사·문화·관광 최고의 명소 꿈꾼다… '세운블록' 미래는?
5,https://finance.naver.com//news/news_read.naver?article_id=0004042048&office_id=011&mode=search&query=변기&page=1,"물 절약효과, 절수형 1등급 양변기가 대소변 구분형 양변기보다 유리"
6,https://finance.naver.com//news/news_read.naver?article_id=0001149767&office_id=082&mode=search&query=변기&page=1,"[생활경제뉴스] 가민, 2022 봄맞이 세일 프로모션 실시 外"
7,https://finance.naver.com//news/news_read.naver?article_id=0004946329&office_id=009&mode=search&query=변기&page=1,"연간 1만8000여톤 오폐수 정화…BAT 사천공장, AWS 인증 획득"
8,https://finance.naver.com//news/news_read.naver?article_id=0004816228&office_id=014&mode=search&query=변기&page=1,"BAT 사천공장, 국제수자원관리동맹(AWS) 인증 획득"
9,https://finance.naver.com//news/news_read.naver?article_id=0006014035&office_id=421&mode=search&query=변기&page=1,"BAT, 사천공장 국제수자원관리동맹(AWS) 인증 획득"
10,https://finance.naver.com//news/news_read.naver?article_id=0003008516&office_id=030&mode=search&query=변기&page=1,"BAT사천공장, 국제수자원관리동맹 인증 획득"
11,https://finance.naver.com//news/news_read.naver?article_id=0004682011&office_id=015&mode=search&query=변기&page=1,"위캔하이, '2022 나라장터 엑스포' 참가"
12,https://finance.naver.com//news/news_read.naver?article_id=0002590001&office_id=119&mode=search&query=변기&page=1,"위메프, 매월 1일 '위메프데이'…봄 아이템 한자리에"
13,https://finance.naver.com//news/news_read.naver?article_id=0005066653&office_id=277&mode=search&query=변기&page=1,"위메프, 내달 1~3일 위메프데이 최대 20% 할인…봄 맞이 세일"
14,https://finance.naver.com//news/news_read.naver?article_id=0003007001&office_id=030&mode=search&query=변기&page=1,"위메프, 봄 맞이 할인전 '할인해봄' 실시"
15,https://finance.naver.com//news/news_read.naver?article_id=0000799242&office_id=417&mode=search&query=변기&page=1,[김영찬의 디자IN텔러] KCC건설 스위첸의 ‘등대프로젝트’
16,https://finance.naver.com//news/news_read.naver?article_id=0004811761&office_id=014&mode=search&query=변기&page=1,"세스코, 춘천시 어린이집연합회와 바이러스케어 MOU"
17,https://finance.naver.com//news/news_read.naver?article_id=0004679380&office_id=015&mode=search&query=변기&page=1,인정받는 名品 브랜드…소비의 품격을 더하다
18,https://finance.naver.com//news/news_read.naver?article_id=0004679176&office_id=015&mode=search&query=변기&page=1,"현대카드, 이탈리아 리빙 브랜드 '알레시' 전시전 개최"
19,https://finance.naver.com//news/news_read.naver?article_id=0002589203&office_id=119&mode=search&query=변기&page=1,"현대카드, 리빙 디자인 브랜드 ‘알레시 100주년’ 기념전 개최"
20,https://finance.naver.com//news/news_read.naver?article_id=0004796655&office_id=014&mode=search&query=КЏБт&page=2,"ФэФэ, ЙіКэ РкЕПММУД БтДЩ ХОРч 'ЙіКэ8 КёЕЅ' УтНУ"
